Stkcd,Accper,total_assets,tptal_liability,total_equity,operating profit
60,2014/6/30,14571312137,7963242518,6608069619,180390546.7
60,2014/12/31,14215785395,7687861877,6527923517,277260358.6
60,2015/6/30,15461979522,7570680224,7891299299,209815195.2
60,2015/12/31,15882835627,7992857326,7889978302,95046364.75
60,2016/6/30,16159957592,8160249147,7999708445,37138002.56
60,2016/12/31,16969105941,8753158555,8215947385,373575895.4
60,2017/6/30,18293461605,8090606653,10202854952,709125793.4
60,2017/12/31,18868841946,8463287930,10405554016,1497729379
60,2018/6/30,19227733666,8816444097,10411289569,842592543.9
61,2014/6/30,12827895154,6718920026,6108975128,115532526.2
61,2014/12/31,13805158178,7648954013,6156204165,85821555.2
61,2015/6/30,14698591082,8545420077,6153171004,74607494.44
61,2015/12/31,16131480258,10046731842,6084748416,4855431.42
61,2016/6/30,16813698945,10652339874,6161359071,85939033.69
61,2016/12/31,17249187729,11000879367,6248308361,195011835.3
61,2017/6/30,18121822299,11725852386,6395969912,81133137.58
61,2017/12/31,18843433039,12434469268,6408963771,194714158.5
61,2018/6/30,18497769244,12187235373,6310533871,66848181.29
62,2014/6/30,4003899101,1833971031,2169928070,444042886
62,2014/12/31,4046140048,1666716191,2379423856,630444028.5
62,2015/6/30,4138411892,1528111135,2610300757,206739449.2
62,2015/12/31,6182360312,2503419027,3678941285,479746498.1
62,2016/6/30,5973091648,2230257725,3742833923,192087376.2
